,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.03790162434209902,0.9727257783080508,0.12198286656896801,0.1517293795074519
1,Train,Valence,0.028313947368411713,0.9754420825840937,0.09164640429279897,0.14112010469317457
2,Test,Arousal,0.18372651319139408,0.869986197783227,0.3035429660110888,0.30263539280227125
3,Test,Valence,0.1411326612761649,0.882126523964736,0.2308394394255157,0.29638794591190537
4,Test,Total,0.1624295872337796,0.876056359861703,0.2671912027183023,0.3017257834917768
