,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.03270344835571082,0.9765163424643503,0.15208862470584977,0.09783914651505296
1,Train,Valence,0.024619938557856453,0.9789826133054707,0.11636908351645567,0.10525290950561232
2,Test,Arousal,1.4574591795133127,-0.015098866055671678,1.1249899299750163,0.43801465382806537
3,Test,Valence,1.1103432184967303,0.006782828791799589,0.8378073524742945,0.6390790707234463
4,Test,Total,1.2839011990050213,-0.004158018631933713,0.9813986412246571,0.5663549293573963
