,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.023028661271528233,0.9801151506229876,0.11593063334693748,0.09792216053226245
1,Train,Valence,0.018513776346094118,0.9814162715289779,0.09581616467364616,0.09660765463112558
2,Test,Arousal,1.5897419406979478,-0.10028240432640234,1.1295471858678088,0.5602366424967772
3,Test,Valence,1.1604116007362313,0.033051500139642864,0.8412828089453986,0.6727962812836966
4,Test,Total,1.3750767707170868,-0.033615452093402554,0.9854149974065984,0.6356367308480786
