,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.023258723616643596,0.9818606830763628,0.11798741865569853,0.09663173731030877
1,Train,Valence,0.021139473195643545,0.9830779442144955,0.10171319488052508,0.10389369173746724
2,Test,Arousal,1.5580080723109648,-0.09031670016994564,1.1325286056233057,0.5247733127321694
3,Test,Valence,1.1214058098916975,0.010645947193633987,0.8350708081321837,0.6512008563393934
4,Test,Total,1.3397069411013258,-0.0398353764881601,0.9837997068777466,0.6097910116167625
