,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.126724671157172,0.9105339646232331,0.32973968460996206,0.1341507046216857
1,Train,Valence,0.09617141010221242,0.9142816312043924,0.24146026643655527,0.19459791837170343
2,Test,Arousal,0.7316295474342339,0.47086234561654294,0.7830662865276354,0.3441463908543179
3,Test,Valence,0.5532905627143693,0.5068475708583953,0.5785283806981353,0.4675419504613066
4,Test,Total,0.6424600550743013,0.48885495823746966,0.6807973336128853,0.4230544239455336
