,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.034990965718210344,0.9742711153199755,0.15333867814151828,0.10713643406433782
1,Train,Valence,0.02976642197214456,0.9755699177144377,0.12257713814565785,0.12141362022510026
2,Test,Arousal,1.444577583590082,-0.013305496120689098,1.1018517770740168,0.48010441046600827
3,Test,Valence,1.0073110547641217,0.09196005637382909,0.7915750998518889,0.6170250530234521
4,Test,Total,1.2259443191771004,0.039327280126565445,0.9467134384629534,0.5741759178254995
