,feature_importance
0,0.01806489628572598
1,0.0
2,0.00598902765251574
3,0.0
4,0.0
5,0.0
6,0.004069267299331369
7,0.0
8,0.0024273274027717243
9,0.0
10,0.013552458182001981
11,0.0
12,0.00816005057167144
13,0.0
14,0.017882893032680036
15,0.0019795951178513383
16,0.0
17,0.0
18,0.0
19,0.001280210700590064
20,0.0
21,0.0
22,0.01411044312688815
23,0.0016327905131384968
24,0.018783346335051635
25,0.0
26,0.0
27,0.002071122528246973
28,0.002030290820804905
29,0.0
30,0.0
31,0.0
32,0.0018227502530167709
33,0.0
34,0.0
35,0.0
36,0.0022360980068976567
37,0.015240752897914506
38,0.0
39,0.015625380422205452
40,0.0
41,0.0019761452781721957
42,0.0
43,0.0
44,0.0014280052388269725
45,0.0
46,0.015638605605566337
47,0.015477502632889249
48,0.0
49,0.0020914150665289244
50,0.0
51,0.012046049740415414
52,0.0
53,0.0
54,0.0
55,0.0
56,0.002068225271551086
57,0.00835120205171887
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0017763091896523648
63,0.0
64,0.0
65,0.013771143245153545
66,0.0
67,0.011324654306647936
68,0.0
69,0.0
70,0.0
71,0.0
72,0.021417456030611733
73,0.0
74,0.0031623674849054827
75,0.015370976255832116
76,0.002499038570563322
77,0.0
78,0.0
79,0.0
80,0.010561524826976719
81,0.0019348706605303331
82,0.0
83,0.0
84,0.014910257768430676
85,0.016121915702930964
86,0.0
87,0.0
88,0.0
89,0.0
90,0.020098817497872363
91,0.0
92,0.0
93,0.018860509282342057
94,0.0
95,0.0
96,0.0014919502752883396
97,0.0
98,0.0
99,0.0
100,0.0018733143986454468
101,0.006265119437230118
102,0.016718652553915792
103,0.0
104,0.0
105,0.001424491903317594
106,0.01048971468338825
107,0.0
108,0.003245210779425731
109,0.016340694840150594
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.016515351423178913
120,0.019593172220577038
121,0.0
122,0.0
123,0.0023844246441830836
124,0.0
125,0.010841487476433452
126,0.0
127,0.0026093703843277022
128,0.0012778527288374287
129,0.0014301566354940382
130,0.0013734421360472723
131,0.0014024653280541805
132,0.001427329713338168
133,0.0013824942751655177
134,0.0014335350693936411
135,0.0016910408384154568
136,0.001542951902853702
137,0.002052572688733648
138,0.0023033710345576434
139,0.0019702114617639473
140,0.0013065266969289988
141,0.001349460613182303
142,0.001252097997453569
143,0.0013191829804786127
144,0.0011910574346491204
145,0.001192756171177335
