,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.08492689172625129,0.9409649187955706,0.23027374872318698,0.17860820914846504
1,Train,Valence,0.06929404117466784,0.9415683949430912,0.18641583248212415,0.18585795268070843
2,Test,Arousal,1.3806367121881387,-0.03970359509874677,1.01100572597137,0.5987521475879997
3,Test,Valence,1.2094552443098159,-0.031919306774653045,0.8432997443762781,0.7059042324881754
4,Test,Total,1.2950459782489763,-0.03581145093669946,0.9271527351738241,0.6598740667041508
