,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.06388418732700399,0.9534528029170243,0.20263081622830145,0.15107924954028698
1,Train,Valence,0.04471886656699352,0.9653995169223248,0.1501859770289174,0.14887255916005146
2,Test,Arousal,1.1097160780148247,0.17762048129002295,0.9131167646113669,0.525294062597793
3,Test,Valence,0.8530447844635891,0.29468564430195165,0.6988527520708364,0.6038622486847537
4,Test,Total,0.9813804312392059,0.23615306429635347,0.8059847583411016,0.5759939240660815
