,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.0448455141983353,0.9652384573569036,0.17506700802545644,0.11915140326219442
1,Train,Valence,0.04028624095984902,0.9722877542238316,0.1563211668988646,0.12589651996471676
2,Test,Arousal,1.795336342751413,-0.08866698552217778,1.206633804422321,0.5825557525050538
3,Test,Valence,1.4418294615197391,-0.6298573094226891,0.99302599043958,0.6750769169740808
4,Test,Total,1.6185829021355747,-0.3592621474724349,1.0998298974309504,0.6394975362365372
