,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.06742471174483161,0.9454399997409701,0.19341935883969041,0.17324451902116472
1,Train,Valence,0.04945842885592797,0.9534193562998534,0.15193401664511963,0.16240222733081122
2,Test,Arousal,1.5021773692812848,-0.03646410514155751,1.0670459062101405,0.6029845796713754
3,Test,Valence,1.0336920618895769,0.02259032775643499,0.7931417090508077,0.6360961336571235
4,Test,Total,1.2679347155854326,-0.006936888692566423,0.9300938076304739,0.6347127102814926
