,Dataset,Affect,MSE,R^2,MAE,STD
0,Train,Arousal,0.055005467568947926,0.9625737415877622,0.15856128702757943,0.17281141694085347
1,Train,Valence,0.035128596077630206,0.9706115571104821,0.12083861082737511,0.1432711632218444
2,Test,Arousal,1.6065352199744631,-0.14491028205586542,1.0353654239019408,0.7311317658006784
3,Test,Valence,1.334516851327886,-0.131282739167079,0.8857659856996938,0.7415763412524268
4,Test,Total,1.4705260356511738,-0.1380965106114732,0.9605657048008173,0.7401618487950348
